,index,pct_sens,posSamples
0,fx1,3.638644918444166,29
2,fx22,6.398996235884567,51
6,t20,9.03387703889586,72
3,fx5,10.53952321204517,84
4,gx2,11.543287327478042,92
1,fx2,18.946047678795484,151
7,wx1,25.094102885821833,200
5,phad,44.91844416562108,358
