,coef,std err,z,P>|z|,[0.025,0.975],pvalue_raw,features,iter,allele,HLA_typing,pval_Holm,nlog10_Pval
390,-0.2193,0.164,-1.34,0.18,-0.54,0.101,0.1801405386816468,Negative,91,DPB1*01:01,HLA-HD,1.0,-0.0
391,-0.1017,0.165,-0.615,0.539,-0.426,0.223,0.538864926938031,Negative,92,DPB1*01:01,HLA-HD,1.0,-0.0
392,-0.1321,0.166,-0.795,0.427,-0.458,0.194,0.4265926118298401,Negative,93,DPB1*01:01,HLA-HD,1.0,-0.0
393,0.0915,0.166,0.552,0.581,-0.234,0.417,0.5812505131677452,Negative,94,DPB1*01:01,HLA-HD,1.0,-0.0
394,0.1015,0.162,0.626,0.531,-0.216,0.419,0.5311409903376588,Negative,95,DPB1*01:01,HLA-HD,1.0,-0.0
395,-0.2434,0.161,-1.511,0.131,-0.559,0.072,0.13081366982551754,Negative,96,DPB1*01:01,HLA-HD,1.0,-0.0
396,0.0534,0.163,0.328,0.743,-0.266,0.372,0.7428956303023604,Negative,97,DPB1*01:01,HLA-HD,1.0,-0.0
397,-0.1954,0.166,-1.178,0.239,-0.52,0.13,0.23881244311849414,Negative,98,DPB1*01:01,HLA-HD,1.0,-0.0
398,-0.0872,0.164,-0.531,0.596,-0.409,0.235,0.5956953910822326,Negative,99,DPB1*01:01,HLA-HD,1.0,-0.0
399,0.0485,0.169,0.288,0.773,-0.282,0.379,0.773472672532332,Negative,100,DPB1*01:01,HLA-HD,1.0,-0.0
400,-0.4545,0.164,-2.78,0.005,-0.775,-0.134,0.005444255292911081,weakPos,1,DPB1*01:01,HLA-HD,1.0,-0.0
401,-0.1467,0.157,-0.932,0.351,-0.455,0.162,0.3512321068318287,weakPos,2,DPB1*01:01,HLA-HD,1.0,-0.0
402,-0.415,0.168,-2.471,0.013,-0.744,-0.086,0.013478942415062525,weakPos,3,DPB1*01:01,HLA-HD,1.0,-0.0
403,-0.2433,0.161,-1.515,0.13,-0.558,0.071,0.12970853294645854,weakPos,4,DPB1*01:01,HLA-HD,1.0,-0.0
