,coef,std err,z,P>|z|,[0.025,0.975],pvalue_raw,features,iter,allele,HLA_typing,pval_Holm,nlog10_Pval
411,0.0055,0.219,0.025,0.98,-0.423,0.434,0.9798758443056726,weakPos,12,DPB1*01:01,HLA-HD,1.0,-0.0
412,0.0103,0.213,0.048,0.962,-0.408,0.428,0.9615662860574296,weakPos,13,DPB1*01:01,HLA-HD,1.0,-0.0
413,0.1165,0.214,0.544,0.586,-0.303,0.536,0.5861471971999208,weakPos,14,DPB1*01:01,HLA-HD,1.0,-0.0
414,-0.0481,0.216,-0.223,0.824,-0.471,0.375,0.8235754984303133,weakPos,15,DPB1*01:01,HLA-HD,1.0,-0.0
415,-0.147,0.218,-0.675,0.499,-0.574,0.28,0.4993659726753269,weakPos,16,DPB1*01:01,HLA-HD,1.0,-0.0
416,0.0246,0.217,0.113,0.91,-0.401,0.45,0.9098257717462718,weakPos,17,DPB1*01:01,HLA-HD,1.0,-0.0
417,-0.1206,0.216,-0.558,0.577,-0.544,0.303,0.5766487438080359,weakPos,18,DPB1*01:01,HLA-HD,1.0,-0.0
418,-0.1194,0.218,-0.548,0.584,-0.547,0.308,0.583862526415678,weakPos,19,DPB1*01:01,HLA-HD,1.0,-0.0
419,-0.2372,0.22,-1.079,0.281,-0.668,0.194,0.2806266215591461,weakPos,20,DPB1*01:01,HLA-HD,1.0,-0.0
420,-0.3662,0.228,-1.604,0.109,-0.814,0.081,0.10875617867960764,weakPos,21,DPB1*01:01,HLA-HD,1.0,-0.0
421,0.1987,0.213,0.932,0.352,-0.219,0.617,0.3515837444256341,weakPos,22,DPB1*01:01,HLA-HD,1.0,-0.0
422,-0.1738,0.214,-0.812,0.417,-0.593,0.246,0.4169198130190028,weakPos,23,DPB1*01:01,HLA-HD,1.0,-0.0
423,-0.0586,0.218,-0.268,0.788,-0.487,0.369,0.7884294590589661,weakPos,24,DPB1*01:01,HLA-HD,1.0,-0.0
424,-0.1282,0.223,-0.573,0.566,-0.566,0.31,0.5663256247635533,weakPos,25,DPB1*01:01,HLA-HD,1.0,-0.0
425,-0.1618,0.218,-0.742,0.458,-0.589,0.266,0.4583414524394084,weakPos,26,DPB1*01:01,HLA-HD,1.0,-0.0
